date,level,longitude,latitude,speed,level_process,level_diff_process,state
2022/9/20 11:15,253,113.14501,23.06952,27.93,281.5555556,-32.55555556,3
2022/9/20 11:16,249,113.14639,23.06667,26.67,249,3.333333333,0
2022/9/20 11:17,271,113.14636,23.06527,9.73,252.3333333,3.333333333,0
2022/9/20 11:18,241,113.14621,23.06073,29.59,255.6666667,3.333333333,0
2022/9/20 11:19,268,113.14641,23.06158,9.94,259,-1,0
2022/9/20 11:20,258,113.14641,23.06158,0.02,258,-1,0
2022/9/20 11:21,256,113.14641,23.06158,0,257,-1,0
2022/9/20 11:22,256,113.14643,23.06173,0.66,256,54.11111111,-1
2022/9/20 11:23,256,113.14643,23.06173,0.02,310.1111111,54.11111111,-1
2022/9/20 11:24,280,113.14643,23.06173,0,364.2222222,54.11111111,-1
2022/9/20 11:25,424,113.14643,23.06173,0,418.3333333,126.2222222,-1
2022/9/20 11:26,551,113.14643,23.06173,0,544.5555556,126.2222222,-1
2022/9/20 11:27,671,113.14643,23.06173,0,670.7777778,126.2222222,-1
2022/9/20 11:28,793,113.14643,23.06173,0,797,80.77777778,-1
2022/9/20 11:29,927,113.14643,23.06173,0,877.7777778,80.77777778,-1
2022/9/20 11:30,1041,113.14643,23.06173,0,958.5555556,80.77777778,-1
2022/9/20 11:31,1024,113.14641,23.06335,10.99,1039.333333,-7.722222222,1
2022/9/20 11:32,1053,113.14646,23.06481,9.14,1031.611111,-7.722222222,1
2022/9/20 11:33,987,113.14656,23.06745,17.95,1023.888889,-7.722222222,1
2022/9/20 11:34,1014,113.14792,23.06947,20.72,1016.166667,-5.388888889,1
2022/9/20 11:35,1001,113.14772,23.06998,17.87,1010.777778,-5.388888889,1
2022/9/20 11:36,1008,113.14464,23.07016,19.29,1005.388889,-5.388888889,1
2022/9/20 11:37,986,113.14072,23.07051,24.23,1000,-2,0
2022/9/20 11:38,992,113.1402,23.07342,22.21,998,-2,0
2022/9/20 11:39,1018,113.13972,23.07282,5.88,996,-2,0
2022/9/20 11:40,992,113.13961,23.07246,2.26,994,-20,0
2022/9/20 12:01,974,113.13958,23.07241,0,974,-1.333333333,0
2022/9/20 12:02,974,113.13954,23.07238,0.57,972.6666667,-1.333333333,0
2022/9/20 12:03,980,113.13964,23.07259,1.32,971.3333333,-1.333333333,0
2022/9/20 12:04,970,113.14033,23.07334,8.06,970,-5,1
2022/9/20 12:05,960,113.14052,23.07067,19.51,965,-5,1
2022/9/20 12:06,993,113.13687,23.07053,23.85,960,-5,1
2022/9/20 12:07,966,113.13759,23.07004,23.47,955,-16.33333333,2
2022/9/20 12:08,989,113.14203,23.06982,27.09,938.6666667,-16.33333333,2
2022/9/20 12:09,906,113.14612,23.06969,27.59,922.3333333,-119.8888889,6
2022/9/20 12:12,793,113.16064,23.06932,28.48,802.4444444,-51.77777778,5
2022/9/20 12:13,731,113.16448,23.0692,23.24,750.6666667,-22.33333333,2
2022/9/20 12:14,728,113.16447,23.06973,9.09,728.3333333,-22.33333333,2
2022/9/20 12:15,714,113.16284,23.06969,10.34,706,-22.33333333,2
2022/9/20 12:16,672,113.1587,23.06968,24.99,683.6666667,-59.72222222,6
2022/9/20 12:17,665,113.15688,23.06969,30.67,623.9444444,-119.4444444,6
2022/9/20 12:19,544,113.14528,23.06984,27.87,504.5,-44.5,4
2022/9/20 12:20,465,113.14038,23.07018,28.81,460,-44.5,4
2022/9/20 12:21,427,113.13644,23.0707,24.3,415.5,-44.5,4
2022/9/20 12:22,373,113.13602,23.0699,10.62,371,-54.33333333,5
2022/9/20 12:23,313,113.13673,23.06988,3.64,316.6666667,-54.33333333,5
2022/9/20 12:24,216,113.13678,23.06988,0.07,262.3333333,-54.33333333,5
2022/9/20 12:25,253,113.13872,23.06997,12.93,208,-16.16666667,2
2022/9/20 12:26,200,113.14309,23.06974,26.79,191.8333333,-16.16666667,2
2022/9/20 12:27,144,113.14651,23.06878,24.84,175.6666667,-16.16666667,2
2022/9/20 12:28,172,113.14637,23.06539,20.67,159.5,3.5,0
2022/9/20 12:29,175,113.14627,23.06536,0.02,163,3.5,0
2022/9/20 12:30,167,113.14616,23.06153,27.82,166.5,3.5,0
2022/9/20 12:31,149,113.1464,23.06168,14.04,170,35.38888889,-1
2022/9/20 12:32,194,113.14644,23.06171,0,205.3888889,35.38888889,-1
2022/9/20 12:33,168,113.14644,23.06171,0,240.7777778,35.38888889,-1
