date,pm2d5,pm10,no2,so2,co,o3,voc,tmp,hmd,airp,wdsp,wdir,lat,lon,state
2022/9/20 0:00,41.8715,101,60.53923583,8.5283806,1.168456954,125.9116131,0,29.8,55.53333333,100113.8,0.161666667,1.833333333,23.06037,113.17188,0
2022/9/20 0:01,43.6005,103.1458333,60.35297583,8.441603278,1.155418378,133.4659618,0,29.8,55.68333333,100113.6,0.086666667,3,23.06037,113.17188,0
2022/9/20 0:02,43.04,102.3541667,59.39258427,8.417006453,1.150617118,128.0261661,0,29.75,55.7,100113,0.113333333,3.166666667,23.06037,113.17188,0
2022/9/20 0:03,42.6505,101.2916667,58.9962703,8.414043934,1.158537612,129.6491578,0,29.71666667,55.7,100110.9667,0.031666667,5.333333333,23.06037,113.17188,0
2022/9/20 0:04,39.8575,98.04166667,58.72418493,8.392365955,1.159163964,121.8790651,0,29.7,55.7,100110.7667,0.028333333,4.833333333,23.06037,113.17188,0
2022/9/20 0:05,39.544,98.35416667,58.20811462,8.325555124,1.15231421,113.5415489,0,29.7,55.65,100109.1333,0.011666667,4.666666667,23.06037,113.17188,0
2022/9/20 0:06,40.342,98.41666667,57.89733883,8.320982528,1.15921002,117.2961976,0,29.7,55.71666667,100108.8,0.115,2.666666667,23.06037,113.17188,0
2022/9/20 0:07,43.4295,103.6458333,58.85289073,8.359547398,1.139305095,128.3031553,0,29.7,55.8,100109.3,0.113333333,5.333333333,23.06037,113.17188,0
2022/9/20 0:08,43.078,102.2291667,58.33430389,8.410399678,1.146016793,131.8175643,0,29.7,55.8,100108.9,0.108333333,7.5,23.06037,113.17188,0
2022/9/20 0:09,41.1685,100.3958333,57.19101652,8.362220729,1.112458304,129.637021,0,29.7,55.8,100107.9667,0.105,6.333333333,23.06037,113.17188,0
2022/9/20 0:10,42.717,102.2083333,57.3292729,8.371865709,1.13268551,132.2398848,0,29.7,55.83333333,100106.4667,0.091666667,5.833333333,23.06037,113.17188,0
2022/9/20 0:11,40.988,100.0833333,57.25054355,8.42963716,1.159532301,128.8633211,0,29.7,55.83333333,100106.6,0.066666667,4.833333333,23.06037,113.17188,0
2022/9/20 0:12,39.316,97.41666667,56.52352889,8.293170502,1.1258817,120.1237945,0,29.7,55.8,100105.7,0.028333333,10.66666667,23.06037,113.17188,0
2022/9/20 0:13,39.0215,97.0625,55.03280555,8.289207483,1.132593397,117.4897838,0,29.7,55.8,100104.4,0.083333333,3.5,23.06037,113.17188,0
